,name,tags,state,_runtime,_step,_timestamp,_wandb,inference_time,taxonomy_mapping_based,training_time,group,system,scenario,base_scenario,database_name,sql_file_path,meta_file_path,groundtruth_mapping_path,m_attr_f1,m_attr_precision,m_attr_recall,m_cls_f1,m_cls_precision,m_cls_recall,m_rel_f1,m_rel_precision,m_rel_recall,n_attr_f1,n_attr_precision,n_attr_recall,n_cls_f1,n_cls_precision,n_cls_recall,n_rel_f1,n_rel_precision,n_rel_recall
0,restful-sunset-494,2_run,finished,2.467522,2,1732537116.286825,{'runtime': 2},0.8187799453735352,"{'f1': 1, 'precision': 1, 'recall': 1}",0,attributes,rdb2onto,receipt,fk_pk_descriptive,attributes__fk_pk_descriptive__receipt,train_data/attributes/fk_pk_descriptive/receipt/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/fk_pk_descriptive/receipt/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
1,breezy-cherry-495,2_run,finished,1.7334619999999998,2,1732537124.340388,{'runtime': 1},0.5985379219055176,"{'f1': 1, 'precision': 1, 'recall': 1}",0,attributes,d2rmapper,receipt,fk_pk_descriptive,attributes__fk_pk_descriptive__receipt,train_data/attributes/fk_pk_descriptive/receipt/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/fk_pk_descriptive/receipt/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2,revived-rain-496,2_run,finished,1.59877,2,1732537129.344189,{'runtime': 1},0.6184840202331543,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,rdb2onto,adult,table_checks,attributes__table_checks__adult,train_data/attributes/table_checks/adult/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/table_checks/adult/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
3,kind-sun-497,2_run,finished,1.548053,2,1732537133.551091,{'runtime': 1},0.6039998531341553,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,adult,table_checks,attributes__table_checks__adult,train_data/attributes/table_checks/adult/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/table_checks/adult/mapping.json,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,prime-lake-498,2_run,finished,1.620486,2,1732537137.986517,{'runtime': 1},0.6761620044708252,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,rdb2onto,person,attributes,basic__attributes__person,train_data/basic/attributes/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/attributes/person/mapping.json,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.5714285714285715,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0
5,giddy-haze-499,2_run,finished,1.407931,2,1732537142.0591428,{'runtime': 1},0.46839284896850586,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,d2rmapper,person,attributes,basic__attributes__person,train_data/basic/attributes/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/attributes/person/mapping.json,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,comfy-bee-500,2_run,finished,1.778289,2,1732537146.755009,{'runtime': 1},0.7462010383605957,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,rdb2onto,movie_director_simple,relationship,basic__relationship__movie_director_simple,train_data/basic/relationship/movie_director_simple/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_simple/mapping.json,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
7,silver-frog-501,2_run,finished,2.403521,2,1732537151.632055,{'runtime': 2},0.5620331764221191,"{'f1': 1, 'precision': 1, 'recall': 1}",0,basic,d2rmapper,movie_director_simple,relationship,basic__relationship__movie_director_simple,train_data/basic/relationship/movie_director_simple/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_simple/mapping.json,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,blooming-star-502,2_run,finished,1.961804,2,1732537156.3373718,{'runtime': 1},0.8685750961303711,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,rdb2onto,movie_director_with_attributes,relationship,basic__relationship__movie_director_with_attributes,train_data/basic/relationship/movie_director_with_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_with_attributes/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0
9,breezy-meadow-503,2_run,finished,1.680549,2,1732537160.555254,{'runtime': 1},0.547126054763794,"{'f1': 1, 'precision': 1, 'recall': 1}",0,basic,d2rmapper,movie_director_with_attributes,relationship,basic__relationship__movie_director_with_attributes,train_data/basic/relationship/movie_director_with_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_with_attributes/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
