,name,tags,state,_runtime,_step,_timestamp,_wandb,inference_time,taxonomy_mapping_based,training_time,group,system,scenario,base_scenario,database_name,sql_file_path,meta_file_path,groundtruth_mapping_path,m_attr_f1,m_attr_precision,m_attr_recall,m_cls_f1,m_cls_precision,m_cls_recall,m_rel_f1,m_rel_precision,m_rel_recall,n_attr_f1,n_attr_precision,n_attr_recall,n_cls_f1,n_cls_precision,n_cls_recall,n_rel_f1,n_rel_precision,n_rel_recall
0,logical-cosmos-741,ontogenix_2811,finished,80.146507,2,1732786433.8279731,{'runtime': 80},78.22903227806091,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,receipt,fk_pk_descriptive,attributes__fk_pk_descriptive__receipt,train_data/attributes/fk_pk_descriptive/receipt/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/fk_pk_descriptive/receipt/mapping.json,0.7272727272727273,1.0,0.5714285714285714,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fine-darkness-742,ontogenix_2811,finished,36.272105,2,1732786476.393884,{'runtime': 36},34.97638297080994,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,adult,table_checks,attributes__table_checks__adult,train_data/attributes/table_checks/adult/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/table_checks/adult/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,eager-star-743,ontogenix_2811,finished,80.930355,2,1732786560.246448,{'runtime': 80},79.31733083724976,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,person,cryptic_attribute_names,attributes__cryptic_attribute_names__person,train_data/attributes/cryptic_attribute_names/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/cryptic_attribute_names/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.125,1.0,1.0,1.0
3,solar-smoke-744,ontogenix_2811,finished,42.946709,2,1732786607.2124538,{'runtime': 42},41.53252387046814,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,person,no_pk_available,attributes__no_pk_available__person,train_data/attributes/no_pk_available/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,vital-wave-745,ontogenix_2811,finished,47.901018,2,1732786658.010311,{'runtime': 47},46.31069016456604,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,company,no_pk_available,attributes__no_pk_available__company,train_data/attributes/no_pk_available/company/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/company/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5,pretty-totem-746,ontogenix_2811,finished,54.62986,2,1732786716.629267,{'runtime': 54},52.4242799282074,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,ontogenix,person_attributes,no_pk_available,attributes__no_pk_available__person_attributes,train_data/attributes/no_pk_available/person_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/person_attributes/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.6666666666666666,0.25,0.0,0.0,0.0,1.0,1.0,1.0
6,brisk-violet-747,ontogenix_2811,finished,46.057244,2,1732786766.420694,{'runtime': 46},44.757709980010986,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,person,attributes,basic__attributes__person,train_data/basic/attributes/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/attributes/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7,electric-snowball-748,ontogenix_2811,finished,50.749347,2,1732786820.6090162,{'runtime': 50},49.146320104599,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,movie_director_simple,relationship,basic__relationship__movie_director_simple,train_data/basic/relationship/movie_director_simple/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_simple/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,wandering-fog-749,ontogenix_2811,finished,94.215842,2,1732786918.5150511,{'runtime': 94},92.64487886428832,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,movie_director_with_attributes,relationship,basic__relationship__movie_director_with_attributes,train_data/basic/relationship/movie_director_with_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_with_attributes/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,atomic-pond-750,ontogenix_2811,finished,58.62546,2,1732786980.8180969,{'runtime': 58},57.157814025878906,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,company,table,basic__table__company,train_data/basic/table/company/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/table/company/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10,tough-haze-751,ontogenix_2811,finished,57.220745,2,1732787041.347799,{'runtime': 57},56.003700971603394,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,person,table,basic__table__person,train_data/basic/table/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/table/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0
11,wise-dragon-752,ontogenix_2811,finished,62.672188,2,1732787107.260552,{'runtime': 62},61.278321981430054,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,shop,table,basic__table__shop,train_data/basic/table/shop/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/table/shop/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12,swept-rain-753,ontogenix_2811,finished,37.116578,2,1732787149.076594,{'runtime': 37},35.93326187133789,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,ontogenix,stadium,table,basic__table__stadium,train_data/basic/table/stadium/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/table/stadium/mapping.json,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,solar-universe-754,ontogenix_2811,finished,48.593323,2,1732787200.770139,{'runtime': 48},47.18784809112549,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,beverages,boolean_relation,denormalized__boolean_relation__beverages,train_data/denormalized/boolean_relation/beverages/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/boolean_relation/beverages/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,brisk-serenity-755,ontogenix_2811,finished,41.494049,2,1732787245.823637,{'runtime': 41},39.54430675506592,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,process,boolean_relation,denormalized__boolean_relation__process,train_data/denormalized/boolean_relation/process/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/boolean_relation/process/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ethereal-cosmos-756,ontogenix_2811,finished,67.281547,2,1732787316.175921,{'runtime': 67},65.79722881317139,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,software,boolean_relation,denormalized__boolean_relation__software,train_data/denormalized/boolean_relation/software/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/boolean_relation/software/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,hardy-sunset-757,ontogenix_2811,finished,41.715829,2,1732787361.061586,{'runtime': 41},39.08828067779541,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,person,composite_attributes,denormalized__composite_attributes__person,train_data/denormalized/composite_attributes/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/composite_attributes/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
17,decent-capybara-758,ontogenix_2811,finished,50.848301,2,1732787415.868077,{'runtime': 50},49.06838083267212,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,library,multiple_concepts_same_table,denormalized__multiple_concepts_same_table__library,train_data/denormalized/multiple_concepts_same_table/library/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/multiple_concepts_same_table/library/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894737,0.25,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0
18,whole-wave-759,ontogenix_2811,finished,55.328411,2,1732787474.0590222,{'runtime': 55},53.734707832336426,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,person_organization,multiple_concepts_same_table,denormalized__multiple_concepts_same_table__person_organization,train_data/denormalized/multiple_concepts_same_table/person_organization/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/multiple_concepts_same_table/person_organization/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
19,earnest-darkness-760,ontogenix_2811,finished,66.508768,2,1732787543.826665,{'runtime': 66},64.88819575309753,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,process,relation_of_concepts_in_same_table,denormalized__relation_of_concepts_in_same_table__process,train_data/denormalized/relation_of_concepts_in_same_table/process/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/relation_of_concepts_in_same_table/process/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,young-plasma-761,ontogenix_2811,finished,61.893338,2,1732787609.246782,{'runtime': 61},60.35568881034851,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,friendship,same_concept_in_same_table,denormalized__same_concept_in_same_table__friendship,train_data/denormalized/same_concept_in_same_table/friendship/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/same_concept_in_same_table/friendship/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,restful-dew-762,ontogenix_2811,finished,52.392188,2,1732787665.178439,{'runtime': 52},50.906782150268555,"{'f1': 0, 'precision': 0, 'recall': 0}",0,denormalized,ontogenix,library,same_concept_multiple_tables,denormalized__same_concept_multiple_tables__library,train_data/denormalized/same_concept_multiple_tables/library/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/denormalized/same_concept_multiple_tables/library/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
